category,treatment,slug,current_image,shared_with
"Lifting & Tightening","PDO Mono Threads","pdo-mono-threads","/images/treatments/photo-1761819922656-d1b77eef49c0.jpg","Forehead Lines; Filler Dissolving; Scar Filling; Under-Eye Mesotherapy; Temple Restoration; Skin Booster Course"
"Lifting & Tightening","Cog Thread Lift","cog-thread-lift","/images/treatments/photo-1785861485926-93a13556d656.jpg","Frown Lines; Cheek Augmentation; Intralesional Injection; Under-Eye PRP; Full Facial Balancing; Lip Hydration Boost"
"Lifting & Tightening","Suspension Thread Lift","silhouette-soft","/images/treatments/photo-1761819921052-2c34973e012c.jpg","Crow's Feet; Tear Trough Filler; Tear Trough Correction; Liquid Rhinoplasty; Submental Fat Dissolving; Russian Lip Technique"
"Lifting & Tightening","Neck Tightening RF","neck-tightening-rf","/images/treatments/photo-1785861775561-c6db7da314a0.jpg","Carbon Laser Peel; Laser Genesis; Full Legs; Underarm & Intimate Lightening; Facial Slimming HIFU; Tattoo Fading for Cover-Up; Microwave Gland Treatment"
"Lifting & Tightening","Non-Surgical Brow Lift","brow-lift-nonsurgical","/images/treatments/photo-1785861378703-1c991c4548ef.jpg","Bunny Lines; Chin Projection; Crow's Feet Softening; Tip Lift & Refinement; Jaw Slimming Programme; Lip Border Definition"
"Lifting & Tightening","Eight-Point Lift","eight-point-lift","/images/treatments/photo-1785861084191-3600dfc2a6d6.jpg","Lip Flip; Jawline Contouring; Non-Surgical Eyelid Tightening; Nose Thread Lift; Cheekbone Definition; Perioral Line Treatment"
"Lifting & Tightening","Ballerina Lift","ballerina-lift","/images/treatments/photo-1785860945533-918a531bcdeb.jpg","Chin Dimpling; Nasolabial Fold Softening; Under-Eye Brightening; Nostril Slimming; Facial Asymmetry Correction; Corner Lift"
"Lifting & Tightening","Décolleté Firming","microfocused-neck","/images/treatments/photo-1754941622138-b3c3671f2fa8.jpg","Thread Lift; Q-Switched Nd:YAG; Underarms; Melasma Protocol; Periorbital Tightening; Coloured Tattoo Removal; Neck & Chest Redness"
"Botox & Anti-Wrinkle","Anti-Wrinkle (Forehead & Frown)","botox","/images/treatments/photo-1650118791598-1c24d98d400b.jpg","Brow Shaping; Under-Eye (Tear Trough); Bio-Remodelling; Revision Assessment; Jawline Sharpening; Sclerotherapy"
"Botox & Anti-Wrinkle","Baby Botox","baby-botox","/images/treatments/photo-1745336670683-3b5586cb5f19.jpg","Microtox / Skin Botox; Lip Enhancement; Earlobe Restoration; V-Line Contouring; Men's Anti-Wrinkle; Underarm Treatment"
"Botox & Anti-Wrinkle","Jaw Slimming (Masseter)","masseter-slimming","/images/treatments/photo-1576157401730-e73772de4796.jpg","Underarm Sweat Treatment; Dermal Fillers; Temple Restoration; Double Chin Reduction; Men's Under-Eye Treatment; Palms & Soles Treatment"
"Botox & Anti-Wrinkle","Underarm Sweat Control","hyperhidrosis","/images/treatments/photo-1670098073774-440ea94549d0.jpg","Palm Sweat Treatment; Trapezius Slimming; Marionette Line Correction; Cheek Definition; PRP Facial Therapy; Filler Migration Correction"
"Botox & Anti-Wrinkle","Gummy Smile Correction","gummy-smile","/images/treatments/photo-1746017062285-13c77e29fc25.jpg","Polynucleotide Therapy; Chin & Jaw Contour; Collagen Stimulator; Dorsal Hump Camouflage; Injection Lipolysis; Lip Asymmetry Correction"
"Botox & Anti-Wrinkle","Neck Band Softening","neck-bands","/images/treatments/photo-1666446224369-2783384adf02.jpg","NCTF Mesotherapy; Smile Line Softening; Calcium Hydroxylapatite Filler; Chemical Brow Lift; Buccal Slimming (Non-Surgical); PRF Therapy"
"Botox & Anti-Wrinkle","Forehead Lines","forehead-lines","/images/treatments/photo-1761819922656-d1b77eef49c0.jpg","PDO Mono Threads; Filler Dissolving; Scar Filling; Under-Eye Mesotherapy; Temple Restoration; Skin Booster Course"
"Botox & Anti-Wrinkle","Frown Lines","frown-lines","/images/treatments/photo-1785861485926-93a13556d656.jpg","Cog Thread Lift; Cheek Augmentation; Intralesional Injection; Under-Eye PRP; Full Facial Balancing; Lip Hydration Boost"
"Botox & Anti-Wrinkle","Crow's Feet","crows-feet","/images/treatments/photo-1761819921052-2c34973e012c.jpg","Suspension Thread Lift; Tear Trough Filler; Tear Trough Correction; Liquid Rhinoplasty; Submental Fat Dissolving; Russian Lip Technique"
"Botox & Anti-Wrinkle","Bunny Lines","bunny-lines","/images/treatments/photo-1785861378703-1c991c4548ef.jpg","Non-Surgical Brow Lift; Chin Projection; Crow's Feet Softening; Tip Lift & Refinement; Jaw Slimming Programme; Lip Border Definition"
"Botox & Anti-Wrinkle","Lip Flip","lip-flip","/images/treatments/photo-1785861084191-3600dfc2a6d6.jpg","Eight-Point Lift; Jawline Contouring; Non-Surgical Eyelid Tightening; Nose Thread Lift; Cheekbone Definition; Perioral Line Treatment"
"Botox & Anti-Wrinkle","Chin Dimpling","chin-dimpling","/images/treatments/photo-1785860945533-918a531bcdeb.jpg","Ballerina Lift; Nasolabial Fold Softening; Under-Eye Brightening; Nostril Slimming; Facial Asymmetry Correction; Corner Lift"
"Botox & Anti-Wrinkle","Brow Shaping","brow-shaping-toxin","/images/treatments/photo-1650118791598-1c24d98d400b.jpg","Anti-Wrinkle (Forehead & Frown); Under-Eye (Tear Trough); Bio-Remodelling; Revision Assessment; Jawline Sharpening; Sclerotherapy"
"Botox & Anti-Wrinkle","Microtox / Skin Botox","microtox","/images/treatments/photo-1745336670683-3b5586cb5f19.jpg","Baby Botox; Lip Enhancement; Earlobe Restoration; V-Line Contouring; Men's Anti-Wrinkle; Underarm Treatment"
"Botox & Anti-Wrinkle","Underarm Sweat Treatment","hyperhidrosis-underarm","/images/treatments/photo-1576157401730-e73772de4796.jpg","Jaw Slimming (Masseter); Dermal Fillers; Temple Restoration; Double Chin Reduction; Men's Under-Eye Treatment; Palms & Soles Treatment"
"Botox & Anti-Wrinkle","Palm Sweat Treatment","hyperhidrosis-palms","/images/treatments/photo-1670098073774-440ea94549d0.jpg","Underarm Sweat Control; Trapezius Slimming; Marionette Line Correction; Cheek Definition; PRP Facial Therapy; Filler Migration Correction"
"Botox & Anti-Wrinkle","Trapezius Slimming","trapezius-toxin","/images/treatments/photo-1670098073774-440ea94549d0.jpg","Underarm Sweat Control; Palm Sweat Treatment; Marionette Line Correction; Cheek Definition; PRP Facial Therapy; Filler Migration Correction"
"Fillers & Volume","Dermal Fillers","dermal-fillers","/images/treatments/photo-1576157401730-e73772de4796.jpg","Jaw Slimming (Masseter); Underarm Sweat Treatment; Temple Restoration; Double Chin Reduction; Men's Under-Eye Treatment; Palms & Soles Treatment"
"Fillers & Volume","Lip Enhancement","lip-filler","/images/treatments/photo-1745336670683-3b5586cb5f19.jpg","Baby Botox; Microtox / Skin Botox; Earlobe Restoration; V-Line Contouring; Men's Anti-Wrinkle; Underarm Treatment"
"Fillers & Volume","Under-Eye (Tear Trough)","under-eye-filler","/images/treatments/photo-1650118791598-1c24d98d400b.jpg","Anti-Wrinkle (Forehead & Frown); Brow Shaping; Bio-Remodelling; Revision Assessment; Jawline Sharpening; Sclerotherapy"
"Fillers & Volume","Chin & Jaw Contour","chin-jaw-filler","/images/treatments/photo-1746017062285-13c77e29fc25.jpg","Polynucleotide Therapy; Gummy Smile Correction; Collagen Stimulator; Dorsal Hump Camouflage; Injection Lipolysis; Lip Asymmetry Correction"
"Fillers & Volume","Smile Line Softening","nasolabial-fold","/images/treatments/photo-1666446224369-2783384adf02.jpg","NCTF Mesotherapy; Neck Band Softening; Calcium Hydroxylapatite Filler; Chemical Brow Lift; Buccal Slimming (Non-Surgical); PRF Therapy"
"Fillers & Volume","Filler Dissolving","filler-dissolving","/images/treatments/photo-1761819922656-d1b77eef49c0.jpg","PDO Mono Threads; Forehead Lines; Scar Filling; Under-Eye Mesotherapy; Temple Restoration; Skin Booster Course"
"Fillers & Volume","Cheek Augmentation","cheek-filler","/images/treatments/photo-1785861485926-93a13556d656.jpg","Cog Thread Lift; Frown Lines; Intralesional Injection; Under-Eye PRP; Full Facial Balancing; Lip Hydration Boost"
"Fillers & Volume","Tear Trough Filler","tear-trough","/images/treatments/photo-1761819921052-2c34973e012c.jpg","Suspension Thread Lift; Crow's Feet; Tear Trough Correction; Liquid Rhinoplasty; Submental Fat Dissolving; Russian Lip Technique"
"Fillers & Volume","Chin Projection","chin-filler","/images/treatments/photo-1785861378703-1c991c4548ef.jpg","Non-Surgical Brow Lift; Bunny Lines; Crow's Feet Softening; Tip Lift & Refinement; Jaw Slimming Programme; Lip Border Definition"
"Fillers & Volume","Jawline Contouring","jawline-filler","/images/treatments/photo-1785861084191-3600dfc2a6d6.jpg","Eight-Point Lift; Lip Flip; Non-Surgical Eyelid Tightening; Nose Thread Lift; Cheekbone Definition; Perioral Line Treatment"
"Fillers & Volume","Nasolabial Fold Softening","nasolabial-filler","/images/treatments/photo-1785860945533-918a531bcdeb.jpg","Ballerina Lift; Chin Dimpling; Under-Eye Brightening; Nostril Slimming; Facial Asymmetry Correction; Corner Lift"
"Fillers & Volume","Marionette Line Correction","marionette-filler","/images/treatments/photo-1670098073774-440ea94549d0.jpg","Underarm Sweat Control; Palm Sweat Treatment; Trapezius Slimming; Cheek Definition; PRP Facial Therapy; Filler Migration Correction"
"Fillers & Volume","Temple Restoration","temple-filler","/images/treatments/photo-1576157401730-e73772de4796.jpg","Jaw Slimming (Masseter); Underarm Sweat Treatment; Dermal Fillers; Double Chin Reduction; Men's Under-Eye Treatment; Palms & Soles Treatment"
"Fillers & Volume","Hand Rejuvenation","hand-rejuvenation","/images/treatments/photo-1741522509438-a120c0bb5e88.jpg","Body Skin Tightening"
"Fillers & Volume","Earlobe Restoration","earlobe-filler","/images/treatments/photo-1745336670683-3b5586cb5f19.jpg","Baby Botox; Microtox / Skin Botox; Lip Enhancement; V-Line Contouring; Men's Anti-Wrinkle; Underarm Treatment"
"Fillers & Volume","Bio-Remodelling","profhilo","/images/treatments/photo-1650118791598-1c24d98d400b.jpg","Anti-Wrinkle (Forehead & Frown); Brow Shaping; Under-Eye (Tear Trough); Revision Assessment; Jawline Sharpening; Sclerotherapy"
"Fillers & Volume","Collagen Stimulator","sculptra","/images/treatments/photo-1746017062285-13c77e29fc25.jpg","Polynucleotide Therapy; Gummy Smile Correction; Chin & Jaw Contour; Dorsal Hump Camouflage; Injection Lipolysis; Lip Asymmetry Correction"
"Fillers & Volume","Calcium Hydroxylapatite Filler","radiesse","/images/treatments/photo-1666446224369-2783384adf02.jpg","NCTF Mesotherapy; Neck Band Softening; Smile Line Softening; Chemical Brow Lift; Buccal Slimming (Non-Surgical); PRF Therapy"
"Laser & Energy","Laser Toning","laser-toning","/images/treatments/photo-1754941622117-97957c5d669b.jpg","HIFU Skin Tightening; Light Fractional Resurfacing; Upper Lip & Chin; Post-Acne Mark Treatment; Hori's Nevus Treatment; Black Ink Removal; Rosacea Vessel Treatment"
"Laser & Energy","Carbon Laser Peel","carbon-peel","/images/treatments/photo-1754941622136-6664a3f50b2e.jpg","RF Microneedling; RF Microneedling; Full Face; Microneedling for Scars; Freckle & Sunspot Clearing; Rosacea Programme; Facial Thread Veins"
"Laser & Energy","Fractional Resurfacing","fractional-co2","/images/treatments/photo-1598300195998-364bf445842c.jpg","Collagen Biostimulators; Insulated RF Microneedling; Beard Shaping (Men); Low-Level Laser Therapy; Dark Circle Correction; Tattoo Removal; Lip Pigmentation Treatment"
"Laser & Energy","IPL Photofacial","ipl-photofacial","/images/treatments/photo-1761819922058-d15028ed9817.jpg","Neck & Décolleté Lift; Thulium Laser; Bikini & Intimate; PCOS Facial Hair Programme; De-Tan Programme; Men's Body Hair Reduction; Nail Fungus Laser"
"Laser & Energy","Pico Laser","pico-laser","/images/treatments/photo-1723540634462-528708cc17aa.jpg","Jawline Definition; Long-Pulsed Nd:YAG; Full Body Package; Nd:YAG for Deeper Skin; Sun Damage Repair; Post-Tattoo Scar Treatment; Intimate Laser Therapy"
"Laser & Energy","Vascular Laser","vascular-laser","/images/treatments/photo-1730288951113-9cc087c14b83.jpg","Ultherapy; Excimer Laser; Full Legs; Diode Laser; Neck Contouring; Collagen Induction Therapy; Pelvic Floor Strengthening"
"Laser & Energy","Non-Ablative Fractional Laser","erbium-glass","/images/treatments/photo-1732993486279-9d0f3b91adb2.jpg","Shurink Lifting; Full Face; Bikini Line; Beard Line Shaping; Chin & Neck Lift; Port Wine Stain Treatment; Bruise Clearing"
"Laser & Energy","Picosecond Laser","picosecond-laser","/images/treatments/photo-1761819920857-7edc5e808fd3.jpg","Monopolar RF Lifting; Underarms; Back & Shoulders; Chest & Abdomen; Razor Bump Treatment; Hand Pigmentation Treatment"
"Laser & Energy","Q-Switched Nd:YAG","q-switched-ndyag","/images/treatments/photo-1754941622138-b3c3671f2fa8.jpg","Thread Lift; Décolleté Firming; Underarms; Melasma Protocol; Periorbital Tightening; Coloured Tattoo Removal; Neck & Chest Redness"
"Laser & Energy","Vascular Laser","vbeam-vascular","/images/treatments/photo-1785861433534-8cd4c7b994fa.jpg","LED Phototherapy; Density HIFU; Full Arms; Pigmentation Treatment; Eyelid Resurfacing; Cosmetic Tattoo Removal; Iontophoresis"
"Laser & Energy","Laser Genesis","laser-genesis","/images/treatments/photo-1785861775561-c6db7da314a0.jpg","Carbon Laser Peel; Neck Tightening RF; Full Legs; Underarm & Intimate Lightening; Facial Slimming HIFU; Tattoo Fading for Cover-Up; Microwave Gland Treatment"
"Laser & Energy","Light Fractional Resurfacing","clear-brilliant","/images/treatments/photo-1754941622117-97957c5d669b.jpg","HIFU Skin Tightening; Laser Toning; Upper Lip & Chin; Post-Acne Mark Treatment; Hori's Nevus Treatment; Black Ink Removal; Rosacea Vessel Treatment"
"Laser & Energy","RF Microneedling","rf-microneedling-face","/images/treatments/photo-1754941622136-6664a3f50b2e.jpg","RF Microneedling; Carbon Laser Peel; Full Face; Microneedling for Scars; Freckle & Sunspot Clearing; Rosacea Programme; Facial Thread Veins"
"Laser & Energy","Insulated RF Microneedling","potenza","/images/treatments/photo-1598300195998-364bf445842c.jpg","Collagen Biostimulators; Fractional Resurfacing; Beard Shaping (Men); Low-Level Laser Therapy; Dark Circle Correction; Tattoo Removal; Lip Pigmentation Treatment"
"Laser & Energy","Thulium Laser","thulium-laser","/images/treatments/photo-1761819922058-d15028ed9817.jpg","Neck & Décolleté Lift; IPL Photofacial; Bikini & Intimate; PCOS Facial Hair Programme; De-Tan Programme; Men's Body Hair Reduction; Nail Fungus Laser"
"Laser & Energy","Long-Pulsed Nd:YAG","long-pulsed-ndyag","/images/treatments/photo-1723540634462-528708cc17aa.jpg","Jawline Definition; Pico Laser; Full Body Package; Nd:YAG for Deeper Skin; Sun Damage Repair; Post-Tattoo Scar Treatment; Intimate Laser Therapy"
"Laser & Energy","Excimer Laser","excimer-laser","/images/treatments/photo-1730288951113-9cc087c14b83.jpg","Ultherapy; Vascular Laser; Full Legs; Diode Laser; Neck Contouring; Collagen Induction Therapy; Pelvic Floor Strengthening"
"Laser Hair Removal","Full Face","lhr-full-face","/images/treatments/photo-1732993486279-9d0f3b91adb2.jpg","Shurink Lifting; Non-Ablative Fractional Laser; Bikini Line; Beard Line Shaping; Chin & Neck Lift; Port Wine Stain Treatment; Bruise Clearing"
"Laser Hair Removal","Underarms","lhr-underarms","/images/treatments/photo-1761819920857-7edc5e808fd3.jpg","Monopolar RF Lifting; Picosecond Laser; Back & Shoulders; Chest & Abdomen; Razor Bump Treatment; Hand Pigmentation Treatment"
"Laser Hair Removal","Full Legs","lhr-full-legs","/images/treatments/photo-1730288951113-9cc087c14b83.jpg","Ultherapy; Vascular Laser; Excimer Laser; Diode Laser; Neck Contouring; Collagen Induction Therapy; Pelvic Floor Strengthening"
"Laser Hair Removal","Full Body Package","lhr-full-body","/images/treatments/photo-1723540634462-528708cc17aa.jpg","Jawline Definition; Pico Laser; Long-Pulsed Nd:YAG; Nd:YAG for Deeper Skin; Sun Damage Repair; Post-Tattoo Scar Treatment; Intimate Laser Therapy"
"Laser Hair Removal","Bikini & Intimate","lhr-bikini","/images/treatments/photo-1761819922058-d15028ed9817.jpg","Neck & Décolleté Lift; IPL Photofacial; Thulium Laser; PCOS Facial Hair Programme; De-Tan Programme; Men's Body Hair Reduction; Nail Fungus Laser"
"Laser Hair Removal","Beard Shaping (Men)","lhr-mens-beard","/images/treatments/photo-1598300195998-364bf445842c.jpg","Collagen Biostimulators; Fractional Resurfacing; Insulated RF Microneedling; Low-Level Laser Therapy; Dark Circle Correction; Tattoo Removal; Lip Pigmentation Treatment"
"Laser Hair Removal","Full Face","full-face-laser","/images/treatments/photo-1754941622136-6664a3f50b2e.jpg","RF Microneedling; Carbon Laser Peel; RF Microneedling; Microneedling for Scars; Freckle & Sunspot Clearing; Rosacea Programme; Facial Thread Veins"
"Laser Hair Removal","Upper Lip & Chin","upper-lip-chin","/images/treatments/photo-1754941622117-97957c5d669b.jpg","HIFU Skin Tightening; Laser Toning; Light Fractional Resurfacing; Post-Acne Mark Treatment; Hori's Nevus Treatment; Black Ink Removal; Rosacea Vessel Treatment"
"Laser Hair Removal","Underarms","underarm-laser","/images/treatments/photo-1754941622138-b3c3671f2fa8.jpg","Thread Lift; Décolleté Firming; Q-Switched Nd:YAG; Melasma Protocol; Periorbital Tightening; Coloured Tattoo Removal; Neck & Chest Redness"
"Laser Hair Removal","Full Arms","full-arms-laser","/images/treatments/photo-1785861433534-8cd4c7b994fa.jpg","LED Phototherapy; Density HIFU; Vascular Laser; Pigmentation Treatment; Eyelid Resurfacing; Cosmetic Tattoo Removal; Iontophoresis"
"Laser Hair Removal","Full Legs","full-legs-laser","/images/treatments/photo-1785861775561-c6db7da314a0.jpg","Carbon Laser Peel; Neck Tightening RF; Laser Genesis; Underarm & Intimate Lightening; Facial Slimming HIFU; Tattoo Fading for Cover-Up; Microwave Gland Treatment"
"Laser Hair Removal","Bikini Line","bikini-laser","/images/treatments/photo-1732993486279-9d0f3b91adb2.jpg","Shurink Lifting; Non-Ablative Fractional Laser; Full Face; Beard Line Shaping; Chin & Neck Lift; Port Wine Stain Treatment; Bruise Clearing"
"Laser Hair Removal","Back & Shoulders","back-shoulders-laser","/images/treatments/photo-1761819920857-7edc5e808fd3.jpg","Monopolar RF Lifting; Picosecond Laser; Underarms; Chest & Abdomen; Razor Bump Treatment; Hand Pigmentation Treatment"
"Laser Hair Removal","Chest & Abdomen","chest-abdomen-laser","/images/treatments/photo-1761819920857-7edc5e808fd3.jpg","Monopolar RF Lifting; Picosecond Laser; Underarms; Back & Shoulders; Razor Bump Treatment; Hand Pigmentation Treatment"
"Laser Hair Removal","Beard Line Shaping","beard-shaping-laser","/images/treatments/photo-1732993486279-9d0f3b91adb2.jpg","Shurink Lifting; Non-Ablative Fractional Laser; Full Face; Bikini Line; Chin & Neck Lift; Port Wine Stain Treatment; Bruise Clearing"
"Laser Hair Removal","Diode Laser","diode-laser-hair","/images/treatments/photo-1730288951113-9cc087c14b83.jpg","Ultherapy; Vascular Laser; Excimer Laser; Full Legs; Neck Contouring; Collagen Induction Therapy; Pelvic Floor Strengthening"
"Laser Hair Removal","Nd:YAG for Deeper Skin","ndyag-hair-dark-skin","/images/treatments/photo-1723540634462-528708cc17aa.jpg","Jawline Definition; Pico Laser; Long-Pulsed Nd:YAG; Full Body Package; Sun Damage Repair; Post-Tattoo Scar Treatment; Intimate Laser Therapy"
"Laser Hair Removal","PCOS Facial Hair Programme","pcos-facial-hair","/images/treatments/photo-1761819922058-d15028ed9817.jpg","Neck & Décolleté Lift; IPL Photofacial; Thulium Laser; Bikini & Intimate; De-Tan Programme; Men's Body Hair Reduction; Nail Fungus Laser"
"Hair Restoration","PRP Hair Therapy","prp-hair","/images/treatments/photo-1633179963355-44f57f194d54.jpg","Female Pattern Hair Loss Programme"
"Hair Restoration","GFC Growth Factor","gfc-therapy","/images/treatments/photo-1590540179852-2110a54f813a.jpg","Alopecia Areata Treatment"
"Hair Restoration","Scalp Mesotherapy","hair-mesotherapy","/images/treatments/photo-1773078280516-df823e1c9d78.jpg","Seborrhoeic Dermatitis Care"
"Hair Restoration","FUE Hair Transplant","hair-transplant-fue","/images/treatments/photo-1512663150964-d8f43c899f76.jpg","Clinical Scalp Detox"
"Hair Restoration","Hairline Design","hairline-design","/images/treatments/photo-1670347850299-dfd2821b5a1f.jpg","Bridal Hair Programme"
"Hair Restoration","Hair Fall Diagnostics","hair-fall-workup","/images/treatments/photo-1557508103-5a4308dc24bb.jpg","Hairline Restoration"
"Hair Restoration","PRP Scalp Therapy","prp-scalp","/images/treatments/photo-1761819921384-819b969a6dfc.jpg","Men's Scalp Treatment"
"Hair Restoration","Exosome Scalp Therapy","exosome-scalp","/images/treatments/photo-1785860420936-b4f8bb4de5e1.jpg","Female Hair Thinning Review"
"Hair Restoration","Low-Level Laser Therapy","low-level-laser-hair","/images/treatments/photo-1598300195998-364bf445842c.jpg","Collagen Biostimulators; Fractional Resurfacing; Insulated RF Microneedling; Beard Shaping (Men); Dark Circle Correction; Tattoo Removal; Lip Pigmentation Treatment"
"Hair Restoration","Female Pattern Hair Loss Programme","female-pattern-programme","/images/treatments/photo-1633179963355-44f57f194d54.jpg","PRP Hair Therapy"
"Hair Restoration","Alopecia Areata Treatment","alopecia-areata-treatment","/images/treatments/photo-1590540179852-2110a54f813a.jpg","GFC Growth Factor"
"Hair Restoration","Seborrhoeic Dermatitis Care","dandruff-seborrheic","/images/treatments/photo-1773078280516-df823e1c9d78.jpg","Scalp Mesotherapy"
"Hair Restoration","Clinical Scalp Detox","scalp-detox","/images/treatments/photo-1512663150964-d8f43c899f76.jpg","FUE Hair Transplant"
"Acne & Scars","Active Acne Programme","acne-treatment","/images/treatments/photo-1763310225009-50214e3c99d9.jpg","Vitiligo Management; NAD+ Infusion; Mole Removal; Body Odour Management; Nail Pigment Band Review"
"Acne & Scars","Acne Scar Revision","scar-revision","/images/treatments/photo-1771946259544-f021c0fff49a.jpg","Dark Circle Assessment; Iron Infusion; Skin Tag Removal; Post-Partum Assessment; Post-Surgical Skin Care"
"Acne & Scars","Microneedling","microneedling","/images/treatments/photo-1552256031-811fa8f0a7b1.jpg","Eye Bag Evaluation; Skin Health Blood Panel; Wart Treatment; Menopausal Skin Programme; Complication Review"
"Acne & Scars","Chemical Peels","chemical-peels","/images/treatments/photo-1784798340504-a0893a7743da.jpg","Milia Removal; Hormone Assessment; Eczema Management; Intimate Pigmentation Care; Advanced Wound Care"
"Acne & Scars","Medical Extraction","comedone-extraction","/images/treatments/photo-1785861001619-b263ebd4e615.jpg","Xanthelasma Removal; Food Sensitivity Review; Psoriasis Management; Lichen Sclerosus Management; Aftercare Planning"
"Acne & Scars","Post-Acne Mark Fading","post-acne-marks","/images/treatments/photo-1781513144825-aa1e284c5950.jpg","Buccal Fat Evaluation; Gut–Skin Programme; Fungal Infection Treatment; Childhood Eczema Care"
"Acne & Scars","Subcision","subcision","/images/treatments/photo-1763310225108-9e16920156f3.jpg","Facial Fat Transfer; Sleep & Stress Review; Chronic Hives Workup; Teenage Acne Programme"
"Acne & Scars","TCA CROSS","trca-cross","/images/treatments/photo-1654781350550-0dc72ecb6fae.jpg","Body Composition Review; Clinical Nutrition Consult; Skin Biopsy; Infant Birthmark Review"
